,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,VAN,WAS,year_x,W,L,W/L%,GB,PS/G,PA/G,SRS,year_y,Th,playoffs,MEM,NOH,CHA,NOK,OKC,BRK,NOP,CHO
9,Houston Rockets,1-0,0-1,,1-0,0-1,0-3,1-3,1-0,2-1,,0-1,0-3,2-1,0-1,0-1,1-3,1-0,1-0,0-1,1-0,2-2,3-0,3-0,2-2,,1-1,1-2,,2-0,2012,34,32,.515,16.0,98.1,97.9,0.57,2012,Houston Rockets,0,2-2,2-1,2-0,,2-2,,,
10,Indiana Pacers,1-2,2-2,,1-2,3-1,1-0,0-1,2-1,2-0,1-0,,1-0,1-0,1-3,3-0,2-0,3-1,1-2,1-3,2-2,0-1,1-0,0-1,0-1,,3-0,1-0,,3-0,2012,42,24,.636,8.0,97.7,94.4,2.60,2012,Indiana Pacers,1,0-1,2-0,3-0,,1-0,,,
11,Los Angeles Clippers,1-1,0-1,,0-1,0-1,2-1,3-1,1-0,2-2,3-0,0-1,,1-2,1-0,1-0,1-3,1-1,0-1,1-0,1-0,1-3,3-1,3-0,1-2,,1-0,2-1,,2-0,2012,40,26,.606,1.0,97.5,95.0,2.82,2012,Los Angeles Clippers,1,2-1,2-1,1-0,,3-1,,,
12,Los Angeles Lakers,1-0,2-0,,0-1,1-0,4-0,3-1,0-1,4-0,1-2,0-1,2-1,,1-1,0-1,4-0,1-0,1-1,0-1,0-1,2-2,2-1,1-2,1-2,,1-0,2-2,,0-1,2012,41,25,.621,—,97.3,95.9,1.96,2012,Los Angeles Lakers,1,2-1,3-0,1-0,,1-2,,,
13,Memphis Grizzlies,1-0,0-1,,1-1,1-0,2-1,3-0,2-0,4-0,2-2,1-0,1-2,1-2,1-0,1-0,4-0,1-0,1-0,1-0,1-0,1-2,1-2,2-1,0-4,,1-1,1-2,,1-0,2012,41,25,.621,9.0,95.0,93.0,2.43,2012,Memphis Grizzlies,1,,3-1,1-0,,1-3,,,
14,Miami Heat,3-1,1-3,,2-2,3-0,2-0,0-1,3-0,0-1,1-0,3-1,0-1,1-1,,1-2,1-0,3-0,3-0,2-2,4-0,1-0,1-0,1-0,1-0,,3-0,0-1,,1-2,2012,46,20,.697,—,98.5,92.5,5.72,2012,Miami Heat,1,0-1,1-0,3-0,,1-1,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,
16,Milwaukee Bucks,1-2,0-3,,0-4,4-0,0-1,0-2,3-1,1-0,1-0,0-3,0-1,1-0,2-1,,1-0,3-0,2-2,0-4,1-2,0-2,2-0,0-1,1-0,,3-0,0-1,,3-1,2012,31,35,.470,19.0,99.0,98.7,-0.23,2012,Milwaukee Bucks,0,0-1,0-1,2-1,,0-1,,,
17,Minnesota Timberwolves,0-1,0-1,,0-1,0-1,2-1,1-3,2-0,1-2,3-1,0-2,3-1,0-4,0-1,0-1,,1-0,0-1,0-1,1-0,1-2,2-1,2-2,2-1,,0-1,1-2,,1-0,2012,26,40,.394,21.0,97.9,100.1,-1.83,2012,Minnesota Timberwolves,0,0-4,1-2,2-0,,0-3,,,
18,New Jersey Nets,0-4,0-3,,1-2,2-2,1-0,0-1,1-2,2-0,0-1,1-3,1-1,0-1,0-3,0-3,0-1,,1-2,0-3,2-2,1-0,0-1,1-0,0-1,,2-2,0-2,,2-1,2012,22,44,.333,17.0,93.1,99.1,-6.37,2012,New Jersey Nets,0,0-1,0-1,4-0,,0-1,,,
19,New Orleans Hornets,0-1,1-0,,0-2,1-0,1-2,2-2,0-1,2-1,1-2,0-2,1-2,0-3,0-1,1-0,2-1,1-0,1-0,1-0,0-1,1-3,0-4,1-3,0-4,,0-1,2-1,,0-1,2012,21,45,.318,29.0,89.6,93.4,-3.11,2012,New Orleans Hornets,0,1-3,,1-1,,0-3,,,
20,New York Knicks,2-1,2-2,,1-3,2-2,1-1,0-1,3-0,0-1,0-1,2-1,1-0,1-1,0-3,2-2,1-0,2-1,,2-1,2-1,0-1,1-0,2-0,0-1,,2-2,1-0,,3-0,2012,36,30,.545,3.0,97.8,94.7,2.39,2012,New York Knicks,1,0-1,0-1,3-1,,0-1,,,
21,Oklahoma City Thunder,0-1,2-0,,1-0,0-1,3-1,2-1,1-0,3-0,2-2,0-1,1-3,2-1,1-1,1-0,3-0,1-0,1-0,2-0,1-0,3-0,3-1,3-1,1-2,,1-0,2-1,,0-1,2012,47,19,.712,—,103.1,96.9,6.44,2012,Oklahoma City Thunder,1,3-1,3-0,1-0,,,,,
22,Orlando Magic,0-3,0-3,,1-2,3-0,0-1,0-2,1-2,1-0,1-0,3-1,0-1,1-0,2-2,4-0,1-0,3-0,1-2,,3-1,1-0,1-0,1-0,0-2,,3-0,0-1,,3-1,2012,37,29,.561,9.0,94.2,93.4,0.46,2012,Orlando Magic,1,0-1,0-1,3-1,,0-2,,,
23,Philadelphia 76ers,3-0,2-1,,1-2,3-0,0-1,0-1,3-1,2-0,0-1,2-2,0-1,1-0,0-4,2-1,0-1,2-2,1-2,1-3,,1-0,0-1,1-0,0-2,,2-1,1-1,,3-1,2012,35,31,.530,4.0,93.6,89.4,3.59,2012,Philadelphia 76ers,1,0-1,1-0,3-0,,0-1,,,
24,Phoenix Suns,1-1,1-0,,0-1,1-1,1-3,0-3,1-0,1-2,2-2,1-0,3-1,2-2,0-1,2-0,2-1,0-1,1-0,0-1,0-1,,2-1,3-0,0-4,,0-1,2-1,,1-0,2012,33,33,.500,8.0,98.4,98.6,0.29,2012,Phoenix Suns,0,2-1,3-1,1-0,,0-3,,,
25,Portland Trail Blazers,1-1,0-1,,1-0,1-0,1-2,2-1,0-1,3-1,0-3,0-1,1-3,1-2,0-1,0-2,1-2,1-0,0-1,0-1,1-0,1-2,,2-2,1-2,,1-0,0-4,,1-1,2012,28,38,.424,19.0,97.2,97.8,-0.22,2012,Portland Trail Blazers,0,2-1,4-0,1-0,,1-3,,,
26,Sacramento Kings,0-1,1-0,,0-2,0-1,1-2,0-3,0-2,1-3,0-3,1-0,0-3,2-1,0-1,1-0,2-2,0-1,0-2,0-1,0-1,0-3,2-2,,1-2,,1-0,2-2,,1-0,2012,22,44,.333,19.0,98.8,104.4,-4.95,2012,Sacramento Kings,0,1-2,3-1,1-0,,1-3,,,
27,San Antonio Spurs,1-0,1-0,,0-1,2-0,2-2,2-1,1-0,3-0,2-2,1-0,2-1,2-1,0-1,0-1,1-2,1-0,1-0,2-0,2-0,4-0,2-1,2-1,,,1-0,3-1,,1-0,2012,50,16,.758,—,103.7,96.5,7.28,2012,San Antonio Spurs,1,4-0,4-0,1-0,,2-1,,,
28,Toronto Raptors,1-3,2-2,,0-3,3-1,0-1,1-1,1-2,1-0,1-1,0-3,0-1,0-1,0-3,0-3,1-0,2-2,2-2,0-3,1-2,1-0,0-1,0-1,0-1,,,1-0,,2-2,2012,23,43,.348,16.0,90.7,94.0,-3.67,2012,Toronto Raptors,0,1-1,1-0,1-2,,0-1,,,
29,Utah Jazz,0-1,0-1,,0-1,2-0,1-3,2-1,1-0,3-1,2-1,0-1,1-2,2-2,1-0,1-0,2-1,2-0,0-1,1-0,1-1,1-2,4-0,2-2,1-3,,0-1,,,1-0,2012,36,30,.545,11.0,99.7,99.0,0.92,2012,Utah Jazz,1,2-1,1-2,1-0,,1-2,,,
30,Washington Wizards,0-3,0-4,,1-2,2-1,0-1,0-1,1-2,0-1,0-2,0-3,0-2,1-0,2-1,1-3,0-1,1-2,0-3,1-3,1-3,0-1,1-1,0-1,0-1,,2-2,0-1,,,2012,20,46,.303,26.0,93.6,98.4,-5.14,2012,Washington Wizards,0,0-1,1-0,4-0,,1-0,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,Atlantic Division,0,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,Central Division,0,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,Southeast Division,0,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,Northwest Division,0,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,Pacific Division,0,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,Southwest Division,0,,,,,,,,
0,Atlanta Hawks,,1-3,,1-2,2-2,1-1,1-1,2-1,0-2,0-2,2-2,1-1,1-1,0-4,4-0,1-1,,0-3,4-0,2-2,1-1,1-1,2-0,0-2,,2-1,2-0,,3-1,2013,44,38,.537,22.0,98.0,97.5,-0.08,2013,Atlanta Hawks,1,2-0,1-1,4-0,,1-1,2-2,,
1,Boston Celtics,3-1,,,2-2,2-2,1-1,1-1,1-2,1-1,1-1,2-0,1-1,1-1,1-3,1-3,1-1,,1-3,3-0,2-2,2-0,1-1,1-1,0-2,,3-1,2-0,,3-0,2013,41,40,.506,12.5,96.5,96.7,-0.62,2013,Boston Celtics,1,0-2,0-2,2-2,,1-1,1-3,,
2,Brooklyn Nets,2-2,3-1,,1-3,3-0,1-1,1-1,4-0,0-2,0-2,3-0,1-1,0-2,0-3,2-2,1-1,,2-2,4-0,3-1,2-0,2-0,2-0,0-2,,3-1,0-2,,3-1,2013,49,33,.598,5.0,96.9,95.1,1.25,2013,Brooklyn Nets,1,0-2,2-0,3-0,,1-1,,,
3,Charlotte Bobcats,0-4,2-2,,1-2,1-2,1-1,0-2,1-3,0-2,0-2,1-3,0-2,0-2,0-4,2-2,2-0,,1-2,3-1,1-3,0-2,0-2,0-2,0-2,,2-2,0-2,,3-1,2013,21,61,.256,45.0,93.4,102.7,-9.29,2013,Charlotte Bobcats,0,0-2,0-2,,,0-2,0-3,,
4,Chicago Bulls,2-1,2-2,,,3-1,1-1,0-2,3-1,2-0,0-2,1-3,0-2,1-1,2-2,2-2,2-0,,4-0,4-0,3-0,1-1,0-2,1-1,0-2,,1-2,2-0,,2-2,2013,45,37,.549,4.5,93.2,92.9,-0.02,2013,Chicago Bulls,1,0-2,1-1,2-1,,0-2,3-1,,
5,Cleveland Cavaliers,2-2,2-2,,1-3,,0-2,0-2,0-4,0-2,0-2,0-4,1-1,1-1,0-4,2-2,0-2,,0-3,3-1,1-3,0-2,1-1,0-2,0-2,,2-2,1-1,,3-0,2013,24,58,.293,25.5,96.5,101.2,-4.87,2013,Cleveland Cavaliers,0,0-2,1-1,2-1,,1-1,0-3,,
6,Dallas Mavericks,1-1,1-1,,1-1,2-0,,1-2,2-0,1-2,3-1,0-2,1-2,1-3,0-2,1-1,2-2,,1-1,2-0,1-1,3-1,3-1,4-0,0-4,,1-1,1-2,,2-0,2013,41,41,.500,17.0,101.1,101.7,-0.24,2013,Dallas Mavericks,0,1-3,3-1,1-1,,0-4,1-1,,
7,Denver Nuggets,1-1,1-1,,2-0,2-0,2-1,,2-0,3-1,4-0,2-0,2-1,3-1,0-2,2-0,2-2,,1-1,1-1,1-1,2-1,3-1,4-0,2-2,,1-1,3-1,,0-2,2013,57,25,.695,3.0,106.1,101.1,5.37,2013,Denver Nuggets,1,3-1,2-1,2-0,,3-1,1-1,,
8,Detroit Pistons,1-2,2-1,,1-3,4-0,0-2,0-2,,0-2,0-2,0-4,0-2,0-2,1-2,3-1,0-2,,0-4,2-2,2-1,1-1,1-1,1-1,1-1,,2-2,0-2,,4-0,2013,29,53,.354,20.5,94.9,98.8,-4.33,2013,Detroit Pistons,0,0-2,0-2,3-1,,0-2,0-4,,
9,Golden State Warriors,2-0,1-1,,0-2,2-0,2-1,1-3,2-0,,1-3,1-1,3-1,1-3,1-1,0-2,4-0,,1-1,0-2,1-1,4-0,3-0,1-3,2-2,,2-0,1-2,,2-0,2013,47,35,.573,9.0,101.2,100.3,1.32,2013,Golden State Warriors,1,0-3,4-0,2-0,,1-3,2-0,,
10,Houston Rockets,2-0,1-1,,2-0,2-0,1-3,0-4,2-0,3-1,,0-2,1-2,2-2,0-2,1-1,2-1,,2-0,2-0,1-1,2-2,2-2,2-1,1-3,,1-1,3-1,,1-1,2013,45,37,.549,13.0,106.0,102.5,3.69,2013,Houston Rockets,1,1-3,3-1,2-0,,1-2,2-0,,
11,Indiana Pacers,2-2,0-2,,3-1,4-0,2-0,0-2,4-0,1-1,2-0,,1-1,1-1,2-1,2-2,1-1,,2-2,2-1,2-2,2-0,1-1,2-0,0-2,,2-2,1-1,,3-1,2013,49,32,.605,—,94.7,90.7,3.34,2013,Indiana Pacers,1,2-0,2-0,3-1,,0-2,0-3,,
12,Los Angeles Clippers,1-1,1-1,,2-0,1-1,2-1,1-2,2-0,1-3,2-1,1-1,,4-0,1-1,2-0,4-0,,2-0,1-1,2-0,3-1,3-1,3-1,2-2,,1-1,4-0,,1-1,2013,56,26,.683,—,101.1,94.6,6.43,2013,Los Angeles Clippers,1,3-1,3-1,2-0,,0-3,1-1,,
13,Los Angeles Lakers,1-1,1-1,,1-1,1-1,3-1,1-3,2-0,3-1,2-2,1-1,0-4,,0-2,1-1,3-0,,1-1,1-1,1-1,2-2,3-1,3-1,1-2,,1-1,1-2,,1-1,2013,45,37,.549,11.0,102.2,101.0,1.48,2013,Los Angeles Lakers,1,1-2,4-0,2-0,,1-3,2-0,,
14,Memphis Grizzlies,0-2,2-0,,2-0,2-0,3-1,1-3,2-0,3-0,3-1,0-2,1-3,2-1,1-1,2-0,3-0,,1-1,2-0,1-1,2-2,3-1,4-0,2-2,,2-0,3-1,,1-1,2013,56,26,.683,2.0,93.4,89.3,4.32,2013,Memphis Grizzlies,1,,2-2,2-0,,2-1,2-0,,
15,Miami Heat,4-0,3-1,,2-2,4-0,2-0,2-0,2-1,1-1,2-0,1-2,1-1,2-0,,3-1,2-0,,1-3,4-0,4-0,2-0,1-1,2-0,2-0,,3-0,1-1,,3-1,2013,66,16,.805,—,102.9,95.0,7.03,2013,Miami Heat,1,1-1,2-0,4-0,,2-0,3-0,,
16,Milwaukee Bucks,0-4,3-1,,2-2,2-2,1-1,0-2,1-3,2-0,1-1,2-2,0-2,1-1,1-3,,0-2,,0-3,2-1,3-1,2-0,2-0,2-0,0-2,,3-0,1-1,,1-2,2013,38,44,.463,11.5,98.9,100.4,-1.83,2013,Milwaukee Bucks,1,0-2,1-1,2-2,,1-1,2-2,,
17,Minnesota Timberwolves,1-1,1-1,,0-2,2-0,2-2,2-2,2-0,0-4,1-2,1-1,0-4,0-3,0-2,2-0,,,0-2,1-1,2-0,3-1,0-4,2-1,2-2,,0-2,0-4,,1-1,2013,31,51,.378,29.0,95.7,98.1,-1.83,2013,Minnesota Timberwolves,0,0-3,3-1,0-2,,2-2,1-1,,
18,New Orleans Hornets,1-1,2-0,,1-1,1-1,1-3,1-2,2-0,0-4,1-3,0-2,1-3,0-4,0-2,1-1,1-3,,0-2,1-1,1-1,2-1,2-1,2-1,1-3,,0-2,1-3,,0-2,2013,27,55,.329,31.0,94.1,97.9,-3.12,2013,New Orleans Hornets,0,2-2,,2-0,,0-4,0-2,,
19,New York Knicks,3-0,3-1,,0-4,3-0,1-1,1-1,4-0,1-1,0-2,2-2,0-2,1-1,3-1,3-0,2-0,,,4-0,3-1,2-0,0-2,1-1,2-0,,2-2,2-0,,3-1,2013,54,28,.659,—,100.0,95.7,3.73,2013,New York Knicks,1,1-1,2-0,2-1,,1-1,2-2,,
20,Oklahoma City Thunder,1-1,1-1,,2-0,1-1,4-0,1-3,2-0,3-1,2-1,2-0,3-0,3-1,0-2,1-1,2-2,,1-1,2-0,2-0,4-0,4-0,3-0,2-2,,2-0,3-1,,1-1,2013,60,22,.732,—,105.7,96.5,9.15,2013,Oklahoma City Thunder,1,1-2,4-0,2-0,,,1-1,,
21,Orlando Magic,0-4,0-3,,0-4,1-3,0-2,1-1,2-2,2-0,0-2,1-2,1-1,1-1,0-4,1-2,1-1,,0-4,,2-1,2-0,1-1,0-2,0-2,,0-4,0-2,,2-2,2013,20,62,.244,46.0,94.1,101.1,-7.12,2013,Orlando Magic,0,0-2,1-1,1-3,,0-2,0-4,,
22,Philadelphia 76ers,2-2,2-2,,0-3,3-1,1-1,1-1,1-2,1-1,1-1,2-2,0-2,1-1,0-4,1-3,0-2,,1-3,1-2,,1-1,1-1,2-0,0-2,,3-1,1-1,,2-1,2013,34,48,.415,20.0,93.2,96.5,-3.51,2013,Philadelphia 76ers,0,1-1,1-1,3-1,,0-2,1-3,,
23,Phoenix Suns,1-1,0-2,,1-1,2-0,1-3,1-2,1-1,0-4,2-2,0-2,1-3,2-2,0-2,0-2,1-3,,0-2,0-2,1-1,,2-1,2-2,1-2,,0-2,1-3,,0-2,2013,25,57,.305,31.0,95.2,101.6,-5.75,2013,Phoenix Suns,0,2-2,1-2,2-0,,0-4,0-2,,
24,Portland Trail Blazers,1-1,1-1,,2-0,1-1,1-3,1-3,1-1,0-3,2-2,1-1,1-3,1-3,1-1,0-2,4-0,,2-0,1-1,1-1,1-2,,2-2,2-1,,1-1,1-3,,0-2,2013,33,49,.402,27.0,97.5,100.7,-2.53,2013,Portland Trail Blazers,0,1-3,1-2,2-0,,0-4,0-2,,
25,Sacramento Kings,0-2,1-1,,1-1,2-0,0-4,0-4,1-1,3-1,1-2,0-2,1-3,1-3,0-2,0-2,1-2,,1-1,2-0,0-2,2-2,2-2,,0-4,,2-0,2-2,,2-0,2013,28,54,.341,28.0,100.2,105.1,-4.26,2013,Sacramento Kings,0,0-4,1-2,2-0,,0-3,0-2,,
26,San Antonio Spurs,2-0,2-0,,2-0,2-0,4-0,2-2,1-1,2-2,3-1,2-0,2-2,2-1,0-2,2-0,2-2,,0-2,2-0,2-0,2-1,1-2,4-0,,,2-0,2-1,,2-0,2013,58,24,.707,—,103.0,96.6,6.67,2013,San Antonio Spurs,1,2-2,3-1,2-0,,2-2,2-0,,
27,Toronto Raptors,1-2,1-3,,2-1,2-2,1-1,1-1,2-2,0-2,1-1,2-2,1-1,1-1,0-3,0-3,2-0,,2-2,4-0,1-3,2-0,1-1,0-2,0-2,,,0-2,,2-2,2013,34,48,.415,20.0,97.2,98.7,-1.96,2013,Toronto Raptors,0,0-2,2-0,2-2,,0-2,1-3,,
28,Utah Jazz,0-2,0-2,,0-2,1-1,2-1,1-3,2-0,2-1,1-3,1-1,0-4,2-1,1-1,1-1,4-0,,0-2,2-0,1-1,3-1,3-1,2-2,1-2,,2-0,,,2-0,2013,43,39,.524,17.0,98.0,98.1,0.30,2013,Utah Jazz,0,1-3,3-1,2-0,,1-3,2-0,,
29,Washington Wizards,1-3,0-3,,2-2,0-3,0-2,2-0,0-4,0-2,1-1,1-3,1-1,1-1,1-3,2-1,1-1,,1-3,2-2,1-2,2-0,2-0,0-2,0-2,,2-2,0-2,,,2013,29,53,.354,37.0,93.2,95.8,-2.78,2013,Washington Wizards,0,1-1,2-0,1-3,,1-1,1-3,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Atlantic Division,0,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Central Division,0,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Southeast Division,0,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Northwest Division,0,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Pacific Division,0,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,Southwest Division,0,,,,,,,,
0,Atlanta Hawks,,2-2,,0-4,3-0,1-1,1-1,2-2,0-2,1-1,2-2,1-1,1-1,2-2,3-0,1-1,,2-2,2-2,3-0,0-2,0-2,2-0,0-2,,2-2,2-0,,1-3,2014,38,44,.463,16.0,101.0,101.5,-0.88,2014,Atlanta Hawks,1,0-2,,3-1,,0-2,1-2,0-2,
1,Boston Celtics,2-2,,,0-3,3-0,0-2,1-1,1-3,0-2,0-2,0-4,0-2,0-2,2-1,2-2,1-1,,2-2,3-1,1-3,0-2,0-2,1-1,0-2,,1-3,1-1,,1-3,2014,25,57,.305,23.0,96.2,100.7,-4.97,2014,Boston Celtics,0,0-2,,2-1,,0-2,1-3,0-2,
2,Brooklyn Nets,2-1,3-1,,1-2,2-2,2-0,1-1,1-3,1-1,1-1,0-4,1-1,1-1,4-0,3-0,1-1,,1-3,2-2,3-1,2-0,0-2,1-1,1-1,,2-2,2-0,,0-3,2014,44,38,.537,4.0,98.5,99.5,-1.58,2014,Brooklyn Nets,1,2-0,,2-2,,1-1,,1-1,
3,Charlotte Bobcats,1-3,1-2,,1-3,4-0,1-1,2-0,3-0,2-0,0-2,1-2,1-1,1-1,0-4,4-0,1-1,,2-2,2-2,3-1,0-2,1-1,2-0,0-2,,3-0,0-2,,3-1,2014,43,39,.524,11.0,96.9,97.1,-0.89,2014,Charlotte Bobcats,1,1-1,,,,0-2,2-2,1-1,
4,Chicago Bulls,4-0,3-0,,,3-1,1-1,1-1,3-1,1-1,1-1,2-2,0-2,2-0,2-2,3-1,1-1,,2-2,2-1,3-1,2-0,0-2,1-1,1-1,,2-2,1-1,,1-2,2014,48,34,.585,8.0,93.7,91.8,1.20,2014,Chicago Bulls,1,1-1,,3-1,,0-2,2-1,0-2,
5,Cleveland Cavaliers,0-3,0-3,,1-3,,0-2,2-0,3-1,1-1,0-2,1-3,1-1,1-1,0-3,2-2,1-1,,2-2,4-0,3-1,1-1,0-2,1-1,0-2,,1-2,2-0,,2-2,2014,33,49,.402,23.0,98.2,101.5,-3.86,2014,Cleveland Cavaliers,0,1-1,,0-4,,1-1,2-2,0-2,
6,Dallas Mavericks,1-1,2-0,,1-1,2-0,,1-3,2-0,1-3,2-2,2-0,1-3,3-0,0-2,2-0,1-3,,1-1,2-0,2-0,2-1,2-1,3-1,0-4,,0-2,4-0,,2-0,2014,49,33,.598,13.0,104.8,102.4,2.91,2014,Dallas Mavericks,1,3-1,,1-1,,2-1,0-2,4-0,
7,Denver Nuggets,1-1,1-1,,1-1,0-2,3-1,,1-1,2-2,1-2,1-1,2-2,3-0,1-1,2-0,2-2,,1-1,2-0,1-1,0-4,0-4,1-2,0-3,,1-1,2-2,,2-0,2014,36,46,.439,23.0,104.4,106.5,-1.40,2014,Denver Nuggets,0,1-3,,0-2,,1-3,1-1,2-2,
8,Detroit Pistons,2-2,3-1,,1-3,1-3,0-2,1-1,,0-2,0-2,1-3,0-2,0-2,1-3,3-1,0-2,,2-1,1-2,3-1,1-1,0-2,2-0,1-1,,0-3,1-1,,2-2,2014,29,53,.354,27.0,101.0,104.7,-4.13,2014,Detroit Pistons,0,0-2,,0-3,,0-2,3-1,0-2,
9,Golden State Warriors,2-0,2-0,,1-1,1-1,3-1,2-2,2-0,,1-2,1-1,2-2,3-1,1-1,2-0,2-1,,1-1,2-0,2-0,2-2,2-2,4-0,0-4,,1-1,4-0,,1-1,2014,51,31,.622,6.0,104.3,99.5,5.15,2014,Golden State Warriors,1,2-2,,0-2,,1-2,1-1,3-0,
10,Houston Rockets,1-1,2-0,,1-1,2-0,2-2,2-1,2-0,2-1,,1-1,0-4,3-1,1-1,2-0,3-1,,2-0,2-0,1-1,2-1,3-1,2-2,4-0,,1-1,2-1,,2-0,2014,54,28,.659,8.0,107.7,103.1,5.06,2014,Houston Rockets,1,2-2,,2-0,,1-3,1-1,3-1,
11,Indiana Pacers,2-2,4-0,,2-2,3-1,0-2,1-1,3-1,1-1,1-1,,2-0,2-0,2-2,4-0,1-1,,2-1,3-1,3-0,0-2,1-1,2-0,1-1,,2-2,2-0,,2-1,2014,56,26,.683,—,96.7,92.3,3.63,2014,Indiana Pacers,1,1-1,,2-1,,1-1,4-0,2-0,
12,Los Angeles Clippers,1-1,2-0,,2-0,1-1,3-1,2-2,2-0,2-2,4-0,0-2,,3-1,0-2,2-0,4-0,,2-0,1-1,2-0,3-1,1-2,4-0,1-2,,2-0,3-0,,2-0,2014,57,25,.695,—,107.9,101.0,7.27,2014,Los Angeles Clippers,1,1-2,,1-1,,2-2,1-1,3-1,
13,Los Angeles Lakers,1-1,2-0,,0-2,1-1,0-3,0-3,2-0,1-3,1-3,0-2,1-3,,0-2,0-2,1-3,,1-1,1-1,1-1,1-3,1-2,3-1,1-3,,1-1,2-2,,0-2,2014,27,55,.329,30.0,103.0,109.2,-5.33,2014,Los Angeles Lakers,0,1-3,,1-1,,1-3,1-1,1-2,
14,Memphis Grizzlies,2-0,2-0,,1-1,1-1,1-3,3-1,2-0,2-2,2-2,1-1,2-1,3-1,1-1,2-0,2-2,,2-0,2-0,2-0,4-0,2-1,3-0,0-4,,0-2,3-0,,2-0,2014,50,32,.610,12.0,96.1,94.6,2.18,2014,Memphis Grizzlies,1,,,1-1,,1-3,0-2,1-3,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,
16,Miami Heat,2-2,1-2,,2-2,3-0,2-0,1-1,3-1,1-1,1-1,2-2,2-0,2-0,,3-0,1-1,,3-1,4-0,1-2,2-0,2-0,1-1,1-1,,4-0,1-1,,2-2,2014,54,28,.659,—,102.2,97.4,4.15,2014,Miami Heat,1,1-1,,4-0,,1-1,0-4,1-1,
17,Milwaukee Bucks,0-3,2-2,,1-3,2-2,0-2,0-2,1-3,0-2,0-2,0-4,0-2,2-0,0-3,,0-2,,1-3,2-2,2-1,0-2,0-2,0-2,0-2,,0-4,1-1,,1-3,2014,15,67,.183,41.0,95.5,103.7,-8.41,2014,Milwaukee Bucks,0,0-2,,0-4,,0-2,0-3,0-2,
18,Minnesota Timberwolves,1-1,1-1,,1-1,1-1,3-1,2-2,2-0,1-2,1-3,1-1,0-4,3-1,1-1,2-0,,,1-1,1-1,2-0,1-2,1-3,2-2,1-2,,0-2,3-1,,1-1,2014,40,42,.488,19.0,106.9,104.3,3.10,2014,Minnesota Timberwolves,0,2-2,,1-1,,1-3,1-1,2-1,
19,New Orleans Pelicans,2-0,2-0,,2-0,2-0,0-4,2-2,2-0,0-3,1-3,0-2,1-3,2-1,1-1,2-0,1-2,,1-1,1-1,2-0,0-4,1-3,1-3,0-4,,0-2,2-2,,0-2,2014,34,48,.415,28.0,99.7,102.4,-1.98,2014,New Orleans Pelicans,0,3-1,,1-1,,1-2,1-1,,
20,New York Knicks,2-2,2-2,,2-2,2-2,1-1,1-1,1-2,1-1,0-2,1-2,0-2,1-1,1-3,3-1,1-1,,,2-1,3-1,1-1,0-2,1-1,1-1,,2-2,2-0,,0-3,2014,37,45,.451,11.0,98.6,99.4,-1.40,2014,New York Knicks,0,0-2,,2-2,,0-2,3-1,1-1,
21,Oklahoma City Thunder,2-0,2-0,,2-0,1-1,1-2,3-1,2-0,2-1,3-1,1-1,2-2,3-1,1-1,2-0,3-1,,2-0,1-1,2-0,1-2,2-2,4-0,4-0,,1-1,3-1,,1-1,2014,59,23,.720,—,106.2,99.8,6.66,2014,Oklahoma City Thunder,1,3-1,,2-0,,,1-1,2-1,
22,Orlando Magic,2-2,1-3,,1-2,0-4,0-2,0-2,2-1,0-2,0-2,1-3,1-1,1-1,0-4,2-2,1-1,,1-2,,3-1,0-2,1-1,0-2,0-2,,0-3,0-2,,0-4,2014,23,59,.280,31.0,96.5,102.0,-5.88,2014,Orlando Magic,0,0-2,,2-2,,1-1,2-2,1-1,
